imdbID,overview_NLG,overview_Sentiment,Featured Review,review_NLG,review_Sentiment
tt0362165,"tim avery , aspiring cartoonist , find predicament dog stumble upon mask loki . conceiving infant son `` born mask '' , discovers looney child raising .",0,"A film made to make money off the success of its predecessor, but which has nothing to do with it.","film made make money success predecessor , nothing .",0.5719
tt0331933,texas ranger roland sharp assigned protect witness murder key figure prosecution drug kingpin -- group university texas cheerleader . sharp must go undercover assistant cheerleading coach move young woman .,-0.4939,"Really good watch, would watch again, and can recommend.","really good watch , would watch , recommend .",0.6901
tt0373074,"'s 1940s , notorious axe gang terrorizes shanghai . small-time criminal sing bone hope join , manage make lot dangerous enemy . fortunately , kung fu master hidden strength found unlikely place . take entire axe gang .",-0.9451,"Quite an experience, and in a great way as well!","quite experience , great way well !",0.7763
tt0089695,"young jason stillwell move parent seattle , local bully harass without mercy . jason 's father tom believe violence , family take chin . one day jason enrolls martial art class quietly rise rank major contender . mettle tested international match ivan , russian champion .",-0.8025,"First of all, I believe the word for this is ""Bruceploitation"" and you can't walk into anything with a ""sploitation"" at the end of the genre title with expectations of things like production value, or great special effects or a decent plot.","first , believe word `` bruceploitation '' ca n't walk anything `` sploitation '' end genre title expectation thing like production value , great special effect decent plot .",0.8934
tt00060675,"paul , young idealist trying figure want life , take job interviewing people marketing research firm . move aspiring pop singer madeleine . paul , however , disillusioned growing commercialism society , madeleine want successful . story told series 15 unrelated vignette .",0.7003,"In MASCULIN FEMININ, shot in the autumn of 1965, Jean-Luc Godard studies the perennial features of courtship and dating between young men and young women, and the particular way they worked out in the newly permissive and economically booming society of 1960s France. Paul (Jean-Pierre Léaud) is 21 and has just finished his national service. In a café, he strikes up a conversation with Madeleine (Chantal Goya), a friend of a friend, with the pretext that she might help him find work. They start dating, and the film then tracks their rocky relationship, where Paul is frustrated as the sole man am...read the rest.","masculin feminin , shot autumn 1965 , jean-luc godard study perennial feature courtship dating young men young woman , particular way worked newly permissive economically booming society 1960s france . paul ( jean-pierre léaud ) 21 finished national service . café , strike conversation madeleine ( chantal goya ) , friend friend , pretext might help find work . start dating , film track rocky relationship , paul frustrated sole man ... read rest .",0.6369
tt0422093,"charles , attorney , helen , devoted wife , seemed everything – money , beautiful mansion – american dream . however , helen prepares celebrate 18th wedding anniversary , life take unexpected twist come home find clothes packed u-haul van parked driveway . charles divorcing kick . helen move grandmother madea , old woman n't take lip anyone . madea help helen tough time showing really important life . helen forced rediscover love , life religion pursuit happiness .",0.9657,This was the first Tyler Perry movie I ever seen. Madea cracked me up so much that I had to watch all of his movies. This a pretty messed up movie. I guess don't piss off a black woman or she will make you pay.,first tyler perry movie ever seen . madea cracked much watch movie . pretty messed movie . guess n't piss black woman make pay .,0.3935
tt0257516,"los angeles , sibling ellie jimmy come across accident mulholland drive . try help woman caught wreckage , ferocious creature attack , devouring woman scratching terrified sibling . slowly discover creature werewolf fallen victim deadly curse .",-0.9432,"Seems like an apt title for everything that happened behind the scenes. If not for Justice League (which cost $250M+), this might be the poster child of what happens when a studio messes around with a project. Honestly I really hope one day we get a documentary and even some footage of the various cuts and actors who were removed. As for the movie itself, it's surprising that it at least was watchable though hardly good.2.5/5","seems like apt title everything happened behind scene . justice league ( cost $ 250m+ ) , might poster child happens studio mess around project . honestly really hope one day get documentary even footage various cut actor removed . movie , 's surprising least watchable though hardly good.2.5/5",0.8622
tt0087835,"george burn back god , oops , satan , . young rock star ready sell soul satan , satan happy oblige . oops ! seems fellow watched god baby , almighty nemesis duke soul .",0.8655,Burns plays both satan and God in this amusing commentary on ‘success’,burn play satan god amusing commentary ‘ success ’,0.8689
tt0051378,"self-assured businessman murder employer , husband mistress , unintentionally provokes ill-fated chain event .",-0.7906,The black cat has it...,black cat ...,0
tt0396652,"help coach , mom , boy drive zamboni machine , nothing stop casey realizing dream champion figure skater .",0.8586,"'Ice Princess' is good. Nothing more, nothing less.","'ice princess ' good . nothing , nothing le .",0.4404
tt0385307,"triumph miss united state pageant , fbi agent gracie hart becomes overnight sensation -- new `` face fbi '' . 's time spring action pageant 's winner , cheryl , emcee , stan , abducted .",0.7003,"Despite Bullock and King's good performances, the film is frankly predictable and never really gets interesting.","despite bullock king 's good performance , film frankly predictable never really get interesting .",0.1119
tt0372237,"young african-american woman brings fiancé home meet parent , 's neglected mention one tiny detail - 's white .",-0.5267,Very funny movie. Nowadays no one cares about black and white relationships like they did back then. That's why it was so funny at the time. Still a good movie regardless.,funny movie . nowadays one care black white relationship like back . 's funny time . still good movie regardless .,0.9246
tt0367631,star team teenage crime fighter fall alluring villainess must bring justice .,-0.5267,"If multiverse theory is correct, somewhere there is a reality in whichD.E.B.S.isn't gay, and that must truly be the darkest timeline.","multiverse theory correct , somewhere reality whichd.e.b.s.is n't gay , must truly darkest timeline .",-0.6814
tt0401792,"welcome sin city . town beckons tough , corrupt , brokenhearted . call dark… hard-boiled . call home — crooked cop , sexy dame , desperate vigilante . seeking revenge , others lust redemption , hoping little . universe unlikely reluctant hero still trying right thing city refuse care .",0.5046,"Visceral, Visionary, Visual, Sin City kicks the big un!","visceral , visionary , visual , sin city kick big un !",-0.126
tt0318649,"scouring ocean depth treasure-laden shipwreck business usual thrill-seeking underwater adventurer wisecracking buddy . two cross path beautiful doctor , find ultimate treasure hunt .",0.7717,"Words like ""Literary work"" and ""Clive Cussler"" really shouldn't be in the same sentence.",word like `` literary work '' `` clive cussler '' really n't sentence .,0.2499
tt0332047,lindsay stuck middle relationship ben passion boston red sox .,0.25,"There are a lot of sub-genres in movies: spaghetti Westerns, Police Procedural Mysteries, and Epic Fantasy - like Lord of the Rings. You can usually find a lot of room within these sub-genres for imaginative examples. They can be wildly different. Romantic Comedies seem to have less leeway. You have a formula that is often used, with minor changes here and there. The characters usually seem to have little in common at first glance, one of the characters usually gets sidetracked by another love interest (in Fever Pitch the love interest is the Boston Red Sox), there is a breakup where one or bot...read the rest.","lot sub-genres movie : spaghetti western , police procedural mystery , epic fantasy - like lord ring . usually find lot room within sub-genres imaginative example . wildly different . romantic comedy seem le leeway . formula often used , minor change . character usually seem little common first glance , one character usually get sidetracked another love interest ( fever pitch love interest boston red sox ) , breakup one bot ... read rest .",0.9686
tt0371724,"mere second earth demolished alien construction crew , arthur dent swept planet friend ford prefect , researcher penning new edition `` hitchhiker 's guide galaxy . ''",0.4939,"Just read the Book, it's so much better. If you have read The Hitchhikers Guide to the Galaxy there is a series to read, get to it!","read book , 's much better . read hitchhiker guide galaxy series read , get !",0.4926
tt0384806,george lutz wife kathleen move long island dream house child life turned hellish nightmare . legacy murder committed house gradually affect family priest brought try exorcise demonic presence home .,-0.7783,Effective haunted house movie with Ryan Reynolds and Melissa George,effective haunted house movie ryan reynolds melissa george,0
tt0320661,"wife dy , blacksmith named balian thrust royalty , political intrigue bloody holy war crusade .",-0.7783,"Good start and ending, weak middle, but magnificent photography and haunting score","good start ending , weak middle , magnificent photography haunting score",0.4215
tt0397065,group unwitting teen stranded near strange wax museum soon must fight survive keep becoming next exhibit .,-0.5267,Engrossing and imaginative modern Mystery/Horror with Elisha Cuthbert,engrossing imaginative modern mystery/horror elisha cuthbert,0
tt0375679,"post-sept. 11 los angeles , tension erupt life brentwood housewife , district attorney husband , persian shopkeeper , two cop , pair carjackers korean couple converge 36-hour period .",-0.3182,Provocative psychological drama,provocative psychological drama,0
tt0121766,evil darth sidious enacts final plan unlimited power -- heroic jedi anakin skywalker must choose side .,-0.2023,"Truly the best of the badStar Warsmovies,Revenge of the Sithdoesn't make a whole lot of sense, both when viewed as self-contained, and when seen as a part of theStar Warswhole, but at least Lucas bothered to put a whole movie in here.","truly best badstar warsmovies , revenge sithdoes n't make whole lot sense , viewed self-contained , seen part thestar warswhole , least lucas bothered put whole movie .",0.34
tt0384642,"phil weston unathletic entire life . college failed every sport tried . look like 10-year old son , sam , following footstep . phil 's hyper-competitive dad bench sam , phil decides transfer son new team need coach . phil step temporary coach immediately begin butt head dad new competition life .",-0.2023,"I swear Will Ferrell can make any movie, and it would be hilarious. He's coaching a little kids soccer team. Him and Mike Ditka are pretty funny together.","swear ferrell make movie , would hilarious . 's coaching little kid soccer team . mike ditka pretty funny together .",0.8225
tt0411705,"matt , young glaciologist , soar across vast , silent , icebound immensity south pole recall love affair lisa . meet mobbed rock concert vast music hall - london 's brixton academy . bed night 's end . together , period several month , pursue mutual sexual passion whose inevitable stage unfold counterpoint nine live-concert song .",0.802,"Lisa is an exchange student in London. Her affair with Matt has the urgency of the ephemeral. They are enjoying an extended, unofficial honeymoon; we see them dancing, drinking beer, doing drugs, hanging out, having irrelevant conversations and, above all, going to rock shows (all nine of the titular songs are performed live) and having sex (Matt and Lisa have intercourse the same way they talk; ie, like real human beings as opposed to movie characters).","lisa exchange student london . affair matt urgency ephemeral . enjoying extended , unofficial honeymoon ; see dancing , drinking beer , drug , hanging , irrelevant conversation , , going rock show ( nine titular song performed live ) sex ( matt lisa intercourse way talk ; ie , like real human being opposed movie character ) .",0.7096
tt0351283,"alex lion king urban jungle , main attraction new york 's central park zoo . best friends—marty zebra , melman giraffe gloria hippo—have spent whole life blissful captivity admiring public regular meal provided . content leave well enough alone , marty let curiosity get better make escape—with help prodigious penguins—to explore world .",0.9595,A surprisingly good and very funny movie. I laughed throughout this movie. Great family movie.,surprisingly good funny movie . laughed throughout movie . great family movie .,0.9337
tt0106233,"good-natured teen surfer mitchell goosen find staying aunt uncle cincinnati , ohio parent head australia work . meet cousin , wiley , together try navigate peril high school—avoid bully , get girl , win little respect .",0.1796,It hits every trope. It's the movie of an out of place kid that has to win over the people in the new city and in the process win the girl.,hit every trope . 's movie place kid win people new city process win girl .,0.8225
tt0398165,"pro quarter-back , paul crewe former college champion coach , nate scarboro time prison . asked put together team inmate take guard , crewe enlists help scarboro coach inmate victory football game 'fixed ' turn quite another way .",0.5106,You're as maniacal as a box of kittens.,'re maniacal box kitten .,-0.0772
tt0352248,"true story boxer jim braddock , following retirement 1920s , make surprise comeback order lift family poverty .",0.1531,The stereotypical sports movie about a character which goes from glory to hell and back to the glory again.,stereotypical sport movie character go glory hell back glory .,0.34
tt0355702,"radical true story behind three teenage surfer venice beach , california , took skateboarding extreme changed world sport forever . stacy peralta , tony alva jay adam z-boys , bunch nobody create new style skateboarding becomes worldwide phenomenon . hobby becomes business , success shred friendship .",0.8885,The birth of skateboard culture,birth skateboard culture,0
tt0356910,"five ( six ) year vanilla-wedded bliss , ordinary suburbanite john jane smith stuck huge rut . unbeknownst , coolly lethal , highly-paid assassin working rival organisation . discover 're 's next target , secret life collide spicy , explosive mix wicked comedy , pent-up passion , nonstop action high-tech weaponry .",0.5994,"Average performances, average script. What did you expect?","average performance , average script . expect ?",0
tt0424774,"everyone always knew max wild imagination , one believed wildest creation -- boy raised watchful great white shark girl force volcano -- real . , two pint-sized action master show max even ordinary kid take extraordinary .",0.7351,"Bad watch, won't watch again, and can't recommend.  (Maybe for younger audiences)","bad watch , wo n't watch , ca n't recommend . ( maybe younger audience )",-0.6818
tt0372784,"driven tragedy , billionaire bruce wayne dedicates life uncovering defeating corruption plague home , gotham city . unable work within system , instead creates new identity , symbol fear criminal underworld - batman .",-0.91,"It's not who I am underneath, but what I do that defines me.","'s underneath , defines .",0
tt0380623,"holly tired moving every time mom jean break yet another second-rate guy . distract mother latest bad choice , holly conceives perfect plan perfect man , imaginary secret admirer romance jean boost self-esteem .",0.836,"A good film... I know, I'm more surprised than anybody!","good film ... know , 'm surprised anybody !",0.6239
tt0356443,"bridge san luis rey american author thornton wilder 's second novel , first published 1927 worldwide acclaim . tell story several interrelated people die collapse inca rope-fiber suspension bridge peru , event lead bridge . friar witnessed tragic accident go inquiring life victim , seeking sort cosmic answer question die .",-0.9509,Thematically heavy costume drama (too weighty for the average viewer),thematically heavy costume drama ( weighty average viewer ),0
tt0400497,"maggie peyton , new owner number 53 - free-wheelin ' volkswagen bug mind - put car pace road becoming nascar competitor .",0.0772,"Really good watch, would watch again, and can recommend.","really good watch , would watch , recommend .",0.6901
tt0418819,"world full zombie survivor barricaded inside walled city keep living dead . wealthy hide skyscraper chaos rule street , rest survivor must find way stop evolving zombie breaking city .",-0.6597,Romero lines up the Bush administration for à la carte eats.,romero line bush administration à la carte eats .,0
tt0374536,"thinking overshadow unknown actress part , egocentric actor unknowingly get witch cast upcoming television remake classic show `` bewitched '' .",-0.3612,Not a bad movie. The movie would've sucked if it weren't for Will Ferrell. He made the movie funny and decent.,bad movie . movie would 've sucked n't ferrell . made movie funny decent .,-0.5574
tt0101694,"murder museum curator place art dealer jack saunders suspicion selling forged treasure museum . jack suddenly dy car crash , wife adrienne try discover . find knew little man married . learns husband 's possible illegal activity double life , place daughter , , grave danger .",-0.9545,"Second time watching, still not a good 90s thriller and there wasn't enough of a mystery element to sustain its usually adequate 100-minute running time, and probably 15-20 minutes could have been shaved off. However, nice seeing Goldie Hawn in a non-comedic role and John Heard has his moments. The finale at least was entertaining, most everything before was really slow and dry.2.5/5","second time watching , still good 90 thriller n't enough mystery element sustain usually adequate 100-minute running time , probably 15-20 minute could shaved . however , nice seeing goldie hawn non-comedic role john heard moment . finale least entertaining , everything really slow dry.2.5/5",0.6802
tt0407304,"ray ferrier divorced dockworker less-than-perfect father . soon ex-wife new husband drop teenage son young daughter rare weekend visit , strange powerful lightning storm touch .",-0.0258,"First time seeing this in 15 years and lame plot, annoying characters (both kids got on my nerves) and a protagonist who just runs around, as Tom Cruise does so well, but has zero impact on the end game which was... bacteria. Yeah, this was just as dumb today as it was back then. At least the visual effects and sound design still holds up.2.5/5","first time seeing 15 year lame plot , annoying character ( kid got nerve ) protagonist run around , tom cruise well , zero impact end game ... bacteria . yeah , dumb today back . least visual effect sound design still hold up.2.5/5",-0.6705
tt0120667,"space voyage , four scientist altered cosmic ray : reed richards gain ability stretch body ; sue storm become invisible ; johnny storm control fire ; ben grimm turned super-strong … thing . together , `` fantastic four '' must thwart evil plan dr. doom save world certain destruction .",0.1027,"Hello rock, this is me in between you and the hard place.","hello rock , hard place .",-0.1027
tt0099740,"mark 13 government-built killing machine programmed artificial intelligence , able repair recharge energy source . series coincidence , cyborg 's head end home sculptress bizarre christmas present boyfriend . inside new home , cyborg promptly reconstructs rest body using variety household utensil proceeds go murderous rampage .",-0.7717,"IMO - It's not terrible but not a masterpiece either. I personally liked the villain robot, and a lot of the movies' aesthetics were just pure eye candy.","imo - 's terrible masterpiece either . personally liked villain robot , lot movie ' aesthetic pure eye candy .",0.0516
tt0399201,"2019 , lincoln six-echo resident seemingly `` utopian '' contained facility . like inhabitant carefully-controlled environment , lincoln hope chosen go island — reportedly last uncontaminated location planet . lincoln soon discovers everything existence lie .",0.6597,Lincoln Six Echo and the Utopian Redemption.,lincoln six echo utopian redemption .,0
tt0408524,"morris buttermaker burned-out minor league baseball player love drink ca n't keep hand . long-suffering lawyer arranges manage local little league team , buttermaker soon find head rag-tag group misfit player . unconventional team-building exercise offbeat coaching style , buttermaker help hapless bear prepare meet rival , yankee .",0.4352,Good movie. Billy Bob Thornton doing what he does best being an a-hole. More coaches need to be like this guy lol.,good movie . billy bob thornton best a-hole . coach need like guy lol .,0.9081
tt0395584,"murderous , backwoods firefly family take road escape vengeful sheriff wydell , afraid ruthless target .",-0.5423,"TheEmpire Strikes Backof the Firefly Family franchise. Firstly because they're both the middle entry in their respective trilogies, and secondly because I gave them both the same rating. And I say that knowing full well how much the film community at large will look down on me for admitting it. But I don't care. This is a fantastic movie. Probably Zombie's best. Mm, second best. AfterHalloween II. Which is also the bestHalloweenmovie.","theempire strike backof firefly family franchise . firstly 're middle entry respective trilogy , secondly gave rating . say knowing full well much film community large look admitting . n't care . fantastic movie . probably zombie 's best . mm , second best . afterhalloween ii . also besthalloweenmovie .",0.8046
tt0405325,"set world superheroes commonly known accepted , young stronghold , son commander jetstream , try find balance normal teenager extraordinary .",0.3818,A decent superhero comedy from Disney.,decent superhero comedy disney .,0.3612
tt0379786,"renegade crew serenity agrees hide fugitive ship , find action-packed battle relentless military might totalitarian regime destroy anything – anyone – get girl back bloodthirsty creature roam uncharted area space . ... greatest danger may ship .",-0.7964,"This is the captain. We have a little problem with our entry sequence, so we may experience some slight turbulence and then - explode.","captain . little problem entry sequence , may experience slight turbulence - explode .",-0.3415
tt0377818,"cousin , bo luke duke , help eye-catching cousin , daisy moonshine-running uncle jesse , try save family farm destroyed hazzard county 's corrupt commissioner , bos hogg . effort constantly find 'duke boy ' eluding authority 'the general lee ' , 1969 orange dodge charger keep one step ahead dimwitted antic small southern town 's sheriff , roscoe p. coltrane .",0.4588,"Bad watch, probably won't watch again, and can't recommend.","bad watch , probably wo n't watch , ca n't recommend .",-0.6818
tt0367652,deuce bigalow go amsterdam little accident including two irritating kid bunch aggressive dolphin . meet old friend t.j. hick . mysterious killer start killing amsterdam 's finest gigolo t.j. mistaken extremely gay murderer . deuce must enter gigolo industry find real murderer clear t.j. 's name .,-0.9737,"Bad watch, probably won't watch again, and can't recommend unless you're just a huge fan of Rob Schneider or ""Deuce Bigalow"".","bad watch , probably wo n't watch , ca n't recommend unless 're huge fan rob schneider `` deuce bigalow '' .",-0.6818
tt0397101,hospice nurse working spooky new orleans plantation home find entangled mystery involving house 's dark past .,0,"The Louisiana bayou, an antebellum mansion, Hoodoo and Kate Hudson","louisiana bayou , antebellum mansion , hoodoo kate hudson",0
tt0326905,"world war ii rage , elite sixth ranger battalion given mission heroic proportion : push 30 mile behind enemy line liberate 500 american prisoner war .",-0.9413,The most successful rescue mission in American history,successful rescue mission american history,0.7964
tt0427312,werner herzog 's documentary film `` grizzly man '' timothy treadwell thirteen summer national park alaska like one man 's attempt protect grizzly bear . film full unique image look spirit man sacrificed nature .,0.7003,"Chilling first-hand documentation of a very brave young man, renouncing society and trying to find meaning among ferocious creatures in the wild.
Tragic yet heart-warming","chilling first-hand documentation brave young man , renouncing society trying find meaning among ferocious creature wild . tragic yet heart-warming",-0.0258
tt0098453,louise popular highschool . learns 's descended witch salem inherited power . first us get back girl teacher teased win heart handsome footballer 's captain . soon doubt 's right 'cheat ' way popularity .,0.5719,"Fun, energetic 80’s teen flick about gaining supernatural powers and the repercussions","fun , energetic 80 ’ teen flick gaining supernatural power repercussion",0.8402
tt0421239,"woman kidnapped stranger routine flight . threatened potential murder father , pulled plot assist captor offing politician .",-0.8271,"""Lisa"" (Rachel McAdams) is chatting away to her fellow passenger on an aircraft when suddenly things all start to take a bit of a menacing turn. It turns out that ""Rippner"" (Cillian Murphy) needs her to contact the hotel in which she works and get them to move a visiting - and important - family to a new suite. Should she not acquiesce to this perfectly reasonable request, then he has a pal on the ground who is all set to bump off her father ""Joe"" (Brian Cox). For the first half an hour, this is quite an effective thriller - the dynamic between the two, with her hemmed into her increasingly cla...read the rest.","`` lisa '' ( rachel mcadams ) chatting away fellow passenger aircraft suddenly thing start take bit menacing turn . turn `` rippner '' ( cillian murphy ) need contact hotel work get move visiting - important - family new suite . acquiesce perfectly reasonable request , pal ground set bump father `` joe '' ( brian cox ) . first half hour , quite effective thriller - dynamic two , hemmed increasingly cla ... read rest .",0.9175
tt0361089,"set 1944 , valiant woodland pigeon want become great hero someday . hears hiring recruit royal homing pigeon service , immediately set london . way , meet smelly friendly pigeon named bugsy , join , mainly get away client cheated game find-the pebble , help sign war .",0.836,"Rewatched this as part of my Disney marathon, controversially I guess as is it really a Disney film? I'm gonna count it.","rewatched part disney marathon , controversially guess really disney film ? 'm gon na count .",-0.2732
tt0355295,"folklore collector con artist , jake grimm , travel village village pretending protect townsfolk enchanted creature performing exorcism . however , put test encounter real magical curse haunted forest real magical being , requiring genuine courage .",0.296,"Does it deserve 10 stars? No, but I look at this as a thumbs up or thumbs down thing, and it's getting thumbs up, sooo...disclaimer there.","deserve 10 star ? , look thumb thumb thing , 's getting thumb , sooo ... disclaimer .",0
